Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_044032_20130603_20200912_02_T1,LC08_L1TP_044032_20130603_20200912_02_T1,LC80440322013154LGN01,2013/06/03,T1,2, 044, 032, 044, 032,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-03 18:47:04.893857,2013-06-03 18:47:34.689877,LGN,DAY,   0.11,   0.11,1150,5,    2.313,    1.384,    1.854,LPGS_15.3.1c,65.93846954,132.50042706,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,40°19'57.61"N,121°15'21.60"W,41°19'52.03"N,122°34'58.55"W,41°17'22.31"N,119°52'42.06"W,39°20'50.39"N,122°35'41.89"W,39°18'30.74"N,119°58'05.92"W, 40.33267,-121.25600, 41.33112,-122.58293, 41.28953,-119.87835, 39.34733,-122.59497, 39.30854,-119.96831,LC08_L2SP_044032_20130603_20200912_02_T1,LC80440322013154LGN01
LC08_L2SP_044033_20130603_20200913_02_T1,LC08_L1TP_044033_20130603_20200913_02_T1,LC80440332013154LGN01,2013/06/03,T1,2, 044, 033, 044, 033,NADIR,   0.000,2020/09/13,2020/09/13,2013-06-03 18:47:28.784894,2013-06-03 18:47:58.580914,LGN,DAY,   0.64,   0.64,1375,5,    2.975,    1.981,    2.220,LPGS_15.3.1c,66.67270621,129.41904538,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,38°54'14.94"N,121°42'13.14"W,39°53'58.09"N,123°00'46.33"W,39°52'09.98"N,120°21'39.89"W,37°54'44.78"N,123°00'45.04"W,37°53'04.02"N,120°26'00.74"W, 38.90415,-121.70365, 39.89947,-123.01287, 39.86944,-120.36108, 37.91244,-123.01251, 37.88445,-120.43354,LC08_L2SP_044033_20130603_20200913_02_T1,LC80440332013154LGN01
LC08_L2SP_044032_20130619_20200912_02_T1,LC08_L1TP_044032_20130619_20200912_02_T1,LC80440322013170LGN01,2013/06/19,T1,2, 044, 032, 044, 032,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-19 18:46:57.789525,2013-06-19 18:47:27.585545,LGN,DAY,  26.79,  26.79,671,5,    4.351,    3.087,    3.065,LPGS_15.3.1c,66.28263541,129.48454449,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,40°19'57.22"N,121°13'10.31"W,41°19'51.56"N,122°32'49.49"W,41°17'18.82"N,119°50'33.29"W,39°20'59.68"N,122°33'36.50"W,39°18'37.19"N,119°56'00.38"W, 40.33256,-121.21953, 41.33099,-122.54708, 41.28856,-119.84258, 39.34991,-122.56014, 39.31033,-119.93344,LC08_L2SP_044032_20130619_20200912_02_T1,LC80440322013170LGN01
LC08_L2SP_044033_20130619_20200912_02_T1,LC08_L1TP_044033_20130619_20200912_02_T1,LC80440332013170LGN01,2013/06/19,T1,2, 044, 033, 044, 033,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-19 18:47:21.672089,2013-06-19 18:47:51.468109,LGN,DAY,   1.71,   1.71,1333,5,    2.874,    1.989,    2.074,LPGS_15.3.1c,66.94821766,126.27427377,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,38°54'15.59"N,121°40'01.52"W,39°53'58.09"N,122°58'27.34"W,39°52'06.82"N,120°19'21.14"W,37°54'44.78"N,122°58'29.89"W,37°53'01.07"N,120°23'45.78"W, 38.90433,-121.66709, 39.89947,-122.97426, 39.86856,-120.32254, 37.91244,-122.97497, 37.88363,-120.39605,LC08_L2SP_044033_20130619_20200912_02_T1,LC80440332013170LGN01
LC08_L2SP_044032_20130705_20200912_02_T1,LC08_L1TP_044032_20130705_20200912_02_T1,LC80440322013186LGN01,2013/07/05,T1,2, 044, 032, 044, 032,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-05 18:47:00.258138,2013-07-05 18:47:32.028133,LGN,DAY,   0.06,   0.06,1162,5,    2.811,    2.042,    1.932,LPGS_15.3.1c,65.25988609,129.22963460,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,40°19'58.66"N,121°13'43.18"W,41°23'25.91"N,122°34'18.44"W,41°20'51.79"N,119°49'57.18"W,39°17'25.91"N,122°35'05.50"W,39°15'02.74"N,119°55'44.72"W, 40.33296,-121.22866, 41.39053,-122.57179, 41.34772,-119.83255, 39.29053,-122.58486, 39.25076,-119.92909,LC08_L2SP_044032_20130705_20200912_02_T1,LC80440322013186LGN01
LC08_L2SP_044033_20130705_20200912_02_T1,LC08_L1TP_044033_20130705_20200912_02_T1,LC80440332013186LGN01,2013/07/05,T1,2, 044, 033, 044, 033,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-05 18:47:24.144938,2013-07-05 18:47:55.914934,LGN,DAY,   0.01,   0.01,1527,5,    1.646,    1.100,    1.225,LPGS_15.3.1c,65.92139081,126.15488785,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,38°54'15.77"N,121°40'34.57"W,39°57'32.18"N,123°00'08.42"W,39°55'40.08"N,120°18'47.56"W,37°51'10.62"N,123°00'08.17"W,37°49'26.58"N,120°23'28.79"W, 38.90438,-121.67627, 39.95894,-123.00234, 39.92780,-120.31321, 37.85295,-123.00227, 37.82405,-120.39133,LC08_L2SP_044033_20130705_20200912_02_T1,LC80440332013186LGN01
LC08_L2SP_045032_20130712_20200912_02_T1,LC08_L1TP_045032_20130712_20200912_02_T1,LC80450322013193LGN01,2013/07/12,T1,2, 045, 032, 045, 032,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-12 18:53:11.215382,2013-07-12 18:53:42.985377,LGN,DAY,   0.06,   0.09,1430,5,    1.518,    0.839,    1.266,LPGS_15.3.1c,64.45104585,130.06504583,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,40°19'58.48"N,122°46'24.64"W,41°23'07.84"N,124°09'27.90"W,41°22'47.96"N,121°23'03.55"W,39°15'41.54"N,124°07'19.27"W,39°15'23.08"N,121°26'03.05"W, 40.33291,-122.77351, 41.38551,-124.15775, 41.37999,-121.38432, 39.26154,-124.12202, 39.25641,-121.43418,LC08_L2SP_045032_20130712_20200912_02_T1,LC80450322013193LGN01
LC08_L2SP_045033_20130712_20200912_02_T1,LC08_L1TP_045033_20130712_20200912_02_T1,LC80450332013193LGN01,2013/07/12,T1,2, 045, 033, 045, 033,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-12 18:53:35.097946,2013-07-12 18:54:06.867942,LGN,DAY,   4.09,  22.72,1032,5,    1.993,    1.299,    1.512,LPGS_15.3.1c,65.13270859,127.11586487,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,38°54'16.38"N,123°13'15.42"W,39°57'12.74"N,124°34'58.01"W,39°57'31.75"N,121°52'04.22"W,37°49'36.16"N,124°32'10.54"W,37°49'53.76"N,121°54'04.03"W, 38.90455,-123.22095, 39.95354,-124.58278, 39.95882,-121.86784, 37.82671,-124.53626, 37.83160,-121.90112,LC08_L2SP_045033_20130712_20200912_02_T1,LC80450332013193LGN01
LC08_L2SP_044032_20130721_20200912_02_T1,LC08_L1TP_044032_20130721_20200912_02_T1,LC80440322013202LGN01,2013/07/21,T1,2, 044, 032, 044, 032,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-21 18:46:58.194073,2013-07-21 18:47:29.964069,LGN,DAY,   0.00,   0.00,1138,5,    3.354,    2.175,    2.554,LPGS_15.3.1c,63.13603020,131.90747727,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,40°19'58.19"N,121°13'02.35"W,41°23'25.76"N,122°33'39.67"W,41°20'50.71"N,119°49'18.52"W,39°17'25.76"N,122°34'27.95"W,39°15'01.73"N,119°55'07.21"W, 40.33283,-121.21732, 41.39049,-122.56102, 41.34742,-119.82181, 39.29049,-122.57443, 39.25048,-119.91867,LC08_L2SP_044032_20130721_20200912_02_T1,LC80440322013202LGN01
LC08_L2SP_044033_20130721_20200912_02_T1,LC08_L1TP_044033_20130721_20200912_02_T1,LC80440332013202LGN01,2013/07/21,T1,2, 044, 033, 044, 033,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-21 18:47:22.080874,2013-07-21 18:47:53.85087,LGN,DAY,   0.02,   0.02,1520,5,    2.665,    1.853,    1.916,LPGS_15.3.1c,63.86079013,129.15817732,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,38°54'15.55"N,121°39'53.75"W,39°57'32.18"N,122°59'17.84"W,39°55'39.18"N,120°18'09.68"W,37°51'10.62"N,122°59'19.07"W,37°49'25.75"N,120°22'52.03"W, 38.90432,-121.66493, 39.95894,-122.98829, 39.92755,-120.30269, 37.85295,-122.98863, 37.82382,-120.38112,LC08_L2SP_044033_20130721_20200912_02_T1,LC80440332013202LGN01
