week_start,fire_occurred,close_date
2013-08-12,1.0,2013-08-12
2016-07-04,1.0,2016-07-02
2017-09-04,1.0,2017-08-29
2018-11-19,1.0,2018-11-08
2020-09-14,1.0,2020-09-08
2021-07-12,1.0,2021-07-13
